
  par_i=1, N_i=73, qfix=-2.0878113061766452
  par_i=1, N_i=72, qfix=-2.097008712811785
  par_i=1, N_i=71, qfix=-2.106206119446924
  par_i=1, N_i=70, qfix=-2.115403526082064
  par_i=1, N_i=69, qfix=-2.124600932717203
  par_i=1, N_i=68, qfix=-2.1337983393523423
  par_i=1, N_i=67, qfix=-2.1429957459874815
  par_i=1, N_i=66, qfix=-2.1521931526226212
  par_i=1, N_i=65, qfix=-2.1613905592577605
  par_i=1, N_i=64, qfix=-2.1705879658929
  par_i=1, N_i=63, qfix=-2.1797853725280394
  par_i=1, N_i=62, qfix=-2.1889827791631786
  par_i=1, N_i=61, qfix=-2.1981801857983183
  par_i=1, N_i=60, qfix=-2.2073775924334575
  par_i=1, N_i=59, qfix=-2.2165749990685972
  par_i=1, N_i=58, qfix=-2.2257724057037365
  par_i=1, N_i=57, qfix=-2.2349698123388757
  par_i=1, N_i=56, qfix=-2.2441672189740154
  par_i=1, N_i=55, qfix=-2.2533646256091546
  par_i=1, N_i=54, qfix=-2.2625620322442943
  par_i=1, N_i=53, qfix=-2.2717594388794335
  par_i=1, N_i=52, qfix=-2.280956845514573
  par_i=1, N_i=51, qfix=-2.2901542521497125
  par_i=1, N_i=50, qfix=-2.2993516587848517
  par_i=1, N_i=49, qfix=-2.308549065419991
  par_i=1, N_i=48, qfix=-2.3177464720551306
  par_i=1, N_i=47, qfix=-2.32694387869027
  par_i=1, N_i=46, qfix=-2.3361412853254095
  par_i=1, N_i=45, qfix=-2.345338691960549
  par_i=1, N_i=44, qfix=-2.354536098595688
  par_i=1, N_i=43, qfix=-2.3637335052308277
  par_i=1, N_i=42, qfix=-2.372930911865967
  par_i=1, N_i=41, qfix=-2.382128318501106
  par_i=1, N_i=40, qfix=-2.391325725136246
  par_i=1, N_i=39, qfix=-2.400523131771385
  par_i=1, N_i=38, qfix=-2.409720538406525
  par_i=1, N_i=37, qfix=-2.418917945041664
  par_i=1, N_i=36, qfix=-2.4281153516768033
  par_i=1, N_i=35, qfix=-2.437312758311943
  par_i=1, N_i=34, qfix=-2.446510164947082
  par_i=1, N_i=33, qfix=-2.455707571582222
  par_i=1, N_i=32, qfix=-2.464904978217361
  par_i=1, N_i=31, qfix=-2.4741023848525003
  par_i=1, N_i=30, qfix=-2.48329979148764
  par_i=1, N_i=29, qfix=-2.4924971981227793
  par_i=1, N_i=28, qfix=-2.5016946047579185
  par_i=1, N_i=27, qfix=-2.510892011393058
  par_i=1, N_i=26, qfix=-2.5200894180281974
  par_i=1, N_i=25, qfix=-2.5292868246633367
  par_i=1, N_i=24, qfix=-2.5384842312984763
  par_i=1, N_i=23, qfix=-2.5476816379336156
  par_i=1, N_i=22, qfix=-2.5568790445687553
  par_i=1, N_i=21, qfix=-2.5660764512038945
  par_i=1, N_i=20, qfix=-2.5752738578390337
  par_i=1, N_i=19, qfix=-2.5844712644741734
  par_i=1, N_i=18, qfix=-2.5936686711093127
  par_i=1, N_i=17, qfix=-2.6028660777444523
  par_i=1, N_i=16, qfix=-2.6120634843795916
  par_i=1, N_i=15, qfix=-2.621260891014731
  par_i=1, N_i=14, qfix=-2.6304582976498705
  par_i=1, N_i=13, qfix=-2.6396557042850097
  par_i=1, N_i=12, qfix=-2.648853110920149
  par_i=1, N_i=11, qfix=-2.6580505175552886
